0,1,2,3,4,5,6,info
3,http://vybary2019.by/candidates/003-3.html,"ДАШКО
Анатолий Михайлович",1960,депутат Палаты представителей Национального собрания Республики Беларусь,беспартийный,"сбор подписей избирателей, трудовой коллектив","Родился  25 января 1960  года в г.Несвиже Минской области.
В 1983 году окончил Минский государственный   медицинский  институт.
За тридцать три года трудовой деятельности прошел все ступени становления в профессии: от врача акушера-гинеколога Ганцевичской центральной районной больницы до главного врача Брестского областного родильного дома (2007-2016г.г.).
Вся трудовая деятельность связана с Брестской областью. Впервые  в области с 1991 года внедрены и начали использоваться
          эндоскопические методы лечения пациентов с акушерско-гинекологической патологией.
В 2016 г. избран депутатом Палаты представителей Национального собрания Республики Беларусь 6 созыва по Брестскому-Восточному избирательному округу №3, где по настоящее время осуществляет полномочия на профессиональной основе в постоянной комиссии по труду и социальным вопросам. 
Беспартийный.
Женат. Имеет двоих детей.
В период осуществления полномочий депутата проживает в городе Минске."
3,http://vybary2019.by/candidates/003-4.html,"КАНЮС
Анна Владимировна",1978,директор просветительского социально-информационного учреждения «РАВЕНСТВОиСПРАВЕДЛИВОСТЬ»,член Белорусской социал-демократической партии (Грамада),политическая партия,"Родилась 7 апреля 1978 года. Брестчанка.
Окончила БрГУ имени А.С.Пушкина.
Работала в средней школе № 10 учителем географии и биологии, затем методистом института повышения квалификации при БрГУ имени А.С.Пушкина.
Окончила Европейский гуманитарный университет и докторантуру Варшавского университета. Кандидат политических наук.
Директор просветительского социально-информационного учреждения «РАВЕНСТВОиСПРАВЕДЛИВОСТЬ».
Руководитель аналитического центра организации «За свой город».
Член Белорусской социал-демократической партии (Грамада).
Проживает в городе Бресте."
3,http://vybary2019.by/candidates/003-5.html,"ЛЫСЕНКО
Светлана Владимировна",1996,учитель ГУО «Базовая школа деревни Яцковичи»,беспартийная,сбор подписей избирателей,"Родилась 13 мая 1996 года.
В 2017 году окончила Белорусский государственный педагогический университет имени Максима Танка по специальности «Математика и информатика»
С 2017 года по настоящее время работает в государственном учреждении образования  «Базовая школа     д. Яцковичи» Брестского района учителем математики,
информатики, физики.
Не замужем.
Имеет демократические взгляды.
Беспартийная.
Проживает в г. Бресте."
3,http://vybary2019.by/candidates/003-6.html,"МЕЛЬНИК
Александр Николаевич",1957,пенсионер Министерства обороны Республики Беларусь,член Белорусской партии левых «Справедливый мир»,политическая партия,"Родился 29 ноября 1957 года, в деревне Гузни, Брестского района.
Образование высшее, в 1979 году окончил Сызранское высшее военное авиационное училище летчиков. В 2011 году – ИПКиПК УО БрГУ имени А.С.Пушкина.
Квалификация по дипломам:  лётчик – инженер, специалист в области государственного управления. Подполковник в отставке. Вся служба прошла на Севере. Непосредственно участвовал в испытаниях ядерного оружия на острове Новая Земля.
Пенсионер Министерства обороны.
Заместитель председателя Белорусского комитета ветеранов подразделений особого риска.
Член Белорусской партии левых «Справедливый мир».
Женат, имеет двоих взрослых сыновей. Православный.
Проживает в городе Бресте."
3,http://vybary2019.by/candidates/003-7.html,"СТАРИК
Елена Николаевна",1967,директор ГУО «Средняя школа № 10 г. Бреста»,член Республиканской партии труда и справедливости,политическая партия,"Родилась 28 октября 1967 года. Белоруска.
Образование высшее, в 1989 году окончила Брестский государственный педагогический институт имени А.С.Пушкина по специальности «математика». 
С 1988 года работала учителем математики, заместителем директора по учебной работе, с 2001 года – директор государственного учреждения образования «Средняя школа     № 29 г.Бреста», с 2014 года – директор государственного учреждения образования «Средняя школа  № 10 г.Бреста».
Член Республиканской партии труда и справедливости.
Замужем. Воспитывает двух сыновей.
Проживает в городе Бресте."
4,http://vybary2019.by/candidates/004-1.html,"АРТЕМУК
Денис Анатольевич",1981,"инженер-агрометеоролог отдела гидрологии и агрометеорологии филиала 
  «Брестский областной центр по гидрометеорологии и мониторингу окружающей среды»",беспартийный,сбор подписей избирателей,"Родился 7 февраля 1981 года в деревне Черни Брестского района.
Образование высшее. В 2003 году окончил УО «Брестский государственный университет имени А.С.Пушкина» по специальности «география». В 2009  и 2013 годах  прошел переподготовку  по специальностям  «государственное и местное управление»,  «промышленная экология и рациональное использование природных ресурсов». В 2018 году окончил магистратуру УО «Брестский государственный университет имени А.С.Пушкина» с присуждением степени магистра географических наук.
С 2003 по 2007 годы работал учителем в  средних школах Брестского района и г.Бреста. С 2008 по 2009 годы проходил срочную военную службу. С 2009 по 2012 годы работал слесарем в КУПП «Брестское котельное хозяйство». С 2012 года работает    в  филиале «Брестский областной центр гидрометеорологии и мониторингу окружающей среды» в должности инженера- агрометеоролога.   Имеет более 30 научных и научно-популярных публикаций в печатных СМИ. 
Беспартийный.
Кандидатом в депутаты выдвинут  путем сбора подписей избирателей. 
Проживает в агрогородке Черни Брестского района.
Женат, воспитывает четверых детей."
4,http://vybary2019.by/candidates/004-2.html,"ГОЛЕНЧУК
Владимир Алексеевич",1975,директор КПУП «Брестский мусороперерабатывающий завод»,беспартийный,трудовой коллектив,"Родился 29 ноября 1975 года в городе Лунинце Брестской области.
Образование высшее. В 1998 году окончил Брестский политехнический институт по специальности «промышленное и гражданское строительство».
С 1998 по 2005 годы работал  на различных должностях в КУП «ЖРЭУ г.Бреста». С 2005  по 2011 годы – ведущий инженер производственно-технического отдела КУМПП «Брестское городское жилищно-коммунальное хозяйство». С 2011 по 2016 годы являлся главным инженером КПУП «Брестский мусороперерабатывающий завод». В апреле 2016 года назначен директором  коммунального производственного унитарного предприятия «Брестский мусороперерабатывающий завод».
Является депутатом Брестского городского Совета депутатов 28 созыва.
Беспартийный.
Кандидатом в депутаты  выдвинут  трудовым коллективом.
Проживает в г. Бресте.
Имеет троих детей."
4,http://vybary2019.by/candidates/004-3.html,"ЗАЙЦЕВ
Евгений Станиславович",1970,военный комиссар Брестской области,беспартийный,"сбор подписей избирателей, трудовой коллектив","Родился  2 июня 1970 года в городе Мстиславле Могилевской области.
Образование высшее.  В 1992 году окончил Харьковское высшее военное командно-инженерное училище ракетных войск по специальности «системы управления летательных аппаратов»,  в 1998 году - Белорусский негосударственный институт правоведения по специальности «правоведение»,  в 2006 году  - УО «Военная академия Республики Беларусь» (с отличием) по специальности «управление соединениями и частями Сухопутных войск».
С 1992  по 1994 годы проходил военную службу в Вооруженных Силах Российской Федерации.  С  1997 по  2004 годы проходил военную службу на различных должностях в 28-ом Армейском корпусе, а затем в Западном оперативном командовании Республики Беларусь. С 2006 по 2012 годы – начальник штаба - первый заместитель командира, затем командир 111 гвардейской артиллерийской бригады Западного оперативного командования (г. Брест), с октября 2012  года по настоящее время – военный комиссар военного комиссариата Брестской области.
Награжден орденом «За службу Родине» III степени,  медалями «За безупречную службу» II, III степени.
Беспартийный.
Кандидатом в депутаты выдвинут от трудового коллектива и путем сбора подписей избирателей.
Проживает в г.Бресте.
Женат, имеет сына и дочь."
4,http://vybary2019.by/candidates/004-4.html,"МАКУЛ
Вадим Викторович",1984,"индивидуальный предприниматель, старший преподаватель 
  учреждения образования «Брестский государственный технический университет», главный инженер ООО «Фарадей Групп»",член Либерально-демократической партии,политическая партия,"Родился 29 февраля 1984 года в городе Бресте.
Образование высшее. В 2006 году окончил УО «Брестский государственный технический университет» по специальности «автоматизация технологических  процессов и производств», в 2007 году окончил магистратуру   УО «Брестский государственный технический университет» с присуждением степени магистра технических наук. 
Является индивидуальным предпринимателем. 
С 2005 года по настоящее время работает  по совместительству старшим преподавателемучреждения образования «Брестский государственный технический университет». С 2017 года  работает главным инженером ООО «Фарадей Групп».
Является учредителем производственной компании.
Член Либерально-демократической партии.
Кандидатом в депутаты выдвинут от Либерально-демократической партии.
Проживает в городе Бресте.
Женат, имеет двоих детей."
4,http://vybary2019.by/candidates/004-5.html,"МАСЛОВСКИЙ
Игорь Владимирович",1970,директор частного образовательного социально-информационного учреждения «За свой город»,член Белорусской социал-демократической партии (Грамада),политическая партия,"Родился 11 апреля 1970 года в деревне Закозель Дрогичинского района Брестской области.
Трудовой путь начинал рабочим в Суличевской начальной школе Дрогичинского района, служил в армии.
В 1995 году окончил Брестский государственный педагогический институт имени А.С. Пушкина (с отличием) по специальности «география и биология», в 1998 году аспирантуру Белорусского государственного педагогического университета имени  М. Танка.
С 1998 по 2001 годы  работал преподавателем в Брестском государственном университете имени А.С. Пушкина.
С ноября 2015 года – директор частного образовательного социально-информационного учреждения «За свой город».
Автор свыше 25 научных публикаций. В 2003 и 2017 годах Республиканским правозащитным общественным объединением «Белорусский Хельсинкский Комитет» награжден специальным дипломом как лучший правозащитник.
Председатель Брестской областной организации Белорусской социал-демократической партии (Грамада).
Кандидатом в депутаты выдвинут от  Белорусской социал-демократической партии (Грамада).
Проживает в г.Бресте.
Женат, имеет дочь."
5,http://vybary2019.by/candidates/005-1.html,"КАЛАЧ
Виктория Васильевна",1982,заместитель директора по финансовым вопросам ООО «Проморетейл»,беспартийная,сбор подписей избирателей,"Родилась 28 января 1982 года.
Заместитель директора по финансовым вопросам ООО «Проморетейл», беспартийная, место жительства г.Барановичи, образование высшее (УО «Белорусский государственный экономический университет»)."
5,http://vybary2019.by/candidates/005-2.html,"ПЕРВУШИН
Андрей Анатольевич",1988,индивидуальный предприниматель,член Либерально-демократической партии,политическая партия,"Родился 26 августа 1988 года.
Индивидуальный предприниматель, член Либерально-демократической партии, место жительства г.Минск, образование профессионально-техническое (Минский государственный профессионально-технический колледж легкой промышленности)."
5,http://vybary2019.by/candidates/005-3.html,"СКОРОХОД
Ирина Олеговна",1981,учитель английского языка ГУО «Гимназия № 2 г.Барановичи»,беспартийная,сбор подписей избирателей,"Родилась 13 мая 1981 года.
Учитель английского языка ГУО «Гимназия № 2 г.Барановичи» беспартийная, место жительства г.Барановичи, образование высшее (УО «Барановичский государственный высший педагогический колледж»)."
5,http://vybary2019.by/candidates/005-4.html,"ХЛОБУКИН
Игорь Константинович",1973,начальник Барановичского горрайотдела по чрезвычайным ситуациям,беспартийный,"сбор подписей избирателей,
трудовой коллектив","Родился 08 июня 1973 года.
Начальник Барановичского горрайотдела по чрезвычайным ситуациям, беспартийный, место жительства г.Барановичи. Образование высшее (Высшее пожарно-техническое училище МВД Республики Беларусь Академия гражданской защиты МЧС России)."
5,http://vybary2019.by/candidates/005-5.html,"ЧЕРНОУС
Николай Дмитриевич",1950,индивидуальный предприниматель,член Партии БНФ,политическая партия,"Родился 07 сентября 1950 года.
Индивидуальный предприниматель, член партии БНФ, место жительства г.Барановичи, образование среднее специальное (Пинский техникум мясной и молочной промышленности)."
5,http://vybary2019.by/candidates/005-6.html,"ШЕСТАК
Владимир Николаевич",1961,временно не работает,член Белорусской партии левых «Справедливый мир»,политическая партия,"Родился 21 апреля 1961 года.
Безработный, заместитель председателя Барановичской городской организации  Белорусской партии левых «Справедливый мир», место жительства г.Барановичи, образование высшее (Белорусский государственный университет имени В.И.Ленина)."
6,http://vybary2019.by/candidates/006-1.html,"АВГУСТ
Дмитрий Васильевич",1979,директор Частного унитарного предприятия по оказанию услуг «АНДАТРА»,беспартийный,сбор подписей избирателей,"Родился 12 июля 1979 года.
Образование профессионально-техническое, директор Частного унитарного предприятия по оказанию услуг  «АНДАТРА», проживает в г.Барановичи, беспартийный."
6,http://vybary2019.by/candidates/006-2.html,"ГУЗОВСКИЙ
Чеслав Францевич",1968,"слесарь контроль-измерительных приборов и автоматики службы главного энергетика ООО «Барановичский комбинат пищевых продуктов 
	и концентратов»",член Белорусской партии левых «Справедливый мир»,политическая партия,"Родился 23 декабря 1968 года.
Образование высшее (Минский радиотехнический техникум, радиотехник; УО «Гродненский государственный университет имени Я.Купалы», юрист), слесарь КИПиА службы главного энергетика ООО «Барановичский комбинат пищевых продуктов и концентратов».
Проживает в г.Барановичи, председатель Барановичской городской организации Белорусской партии левых «Справедливый мир», член Центрального комитета.
Женат, двое детей."
6,http://vybary2019.by/candidates/006-3.html,"КОНОПЛЯНИК
Елена Сергеевна",1993,специалист по документационному обеспечению отдела делопроизводства и архива ОДО «НП-Сервис»,член Либерально-демократической партии,политическая партия,"Родилась 19 августа 1993 года.
Общее среднее образование, специалист по документационному обеспечению отдела делопроизводства и архива ОДО «НП-Сервис» г. Минск, проживает в г.Солигорск, член Либерально-демократической партии."
6,http://vybary2019.by/candidates/006-4.html,"МАЛАЩЕНКО
Татьяна Сергеевна",1968,временно неработающий,член Объединенной гражданской партии,политическая партия,"Родилась 23 мая 1968 года.
Образование высшее (Белорусский государственный институт народного хозяйства, товароведение и организация торговли непродовольственными товарами),  временно не работает, проживает в г.Барановичи,  член Объединенной Гражданской партии.
Замужем, воспитывает трое детей."
6,http://vybary2019.by/candidates/006-5.html,"ПОПКО
Павел Иванович",1983,проректор по воспитательной работе учреждения образования «Барановичский государственный университет»,беспартийный,"сбор подписей избирателей,
трудовой коллектив","Родился 11 сентября 1983 года.
Образование высшее (УО «Барановичский государственный  университет», преподаватель; УО «Барановичский государственный педагогический университет имени М.Танка», магистр педагогических наук; ГУО «Республиканский институт высшей школы», менеджер в сфере образования),  проректор по воспитательной работе УО «Барановичский государственный университет».
Проживает в г.Барановичи, беспартийный."
6,http://vybary2019.by/candidates/006-6.html,"ТАРАСОВА
Юлия Николаевна",1975,директор государственного учреждения образования «Средняя школа № 9 имени Героя Советского Союза Г.Н.Холостякова г. Барановичи»,беспартийная,трудовой коллектив,"Родилась 11 июня 1975 года.
Образование высшее (УО «Брестский государственный педагогический  университет имени А.С. Пушкина», преподаватель), директор ГУО «Средняя школа №9 имени Героя Советского Союза Г.Н. Холостякова  г.Барановичи».
Проживает в г.Барановичи, беспартийная.
Замужем, воспитывает сына."
7,http://vybary2019.by/candidates/007-1.html,"ВОЙТЕШИК
Сергей Константинович",1977,заместитель директора КУМПП ЖКХ «Ганцевичское РЖКХ»,беспартийный,трудовой коллектив,"Родился 12 сентября 1977 года в городе Ганцевичи Брестской области. 
Имеет высшее образование. В 2002 году окончил Белорусский государственный университет по специальности «География». В 2012 году – Академию управления при Президенте Республики Беларусь по специальности переподготовки «Антикризисное управление предприятием». С 2002 года работает в коммунальном унитарном многоотраслевом производственном предприятии жилищно-коммунального хозяйства «Ганцевичское РЖКХ». В настоящее время трудится в должности заместителя директора коммунального унитарного многоотраслевого производственного предприятия жилищно-коммунального хозяйства «Ганцевичское районное жилищно-коммунальное хозяйство». Имеет юбилейную медаль «110 лет профсоюзному движению Беларуси».
Беспартийный. Проживает в городе Ганцевичи. Женат, воспитывает двоих детей."
7,http://vybary2019.by/candidates/007-2.html,"ЖОЛНЕРЧИК
Людмила Николаевна",1964,начальник отдела анализа практики и методического обеспечения предварительного расследования управления Следственного комитета Республики Беларусь по Брестской области,беспартийная,сбор подписей избирателей,"Родилась 30 апреля 1964 года в деревне Лесники Дрогичинского района Брестской области.
Имеет высшее образование. В 1993 году окончила юридический факультет Белорусского государственного университета. С 1991 года по 2019 год прошла служебный путь от следователя до заместителя начальника управления Следственного комитета Республики Беларусь по Брестской области. Имеет специальное звание «полковник юстиции в отставке». В настоящее время трудится в должности начальника отдела анализа практики и методического обеспечения предварительного расследования управления Следственного комитета Республики Беларусь по Брестской области. Указами Президента Республики Беларусь награждена медалями «За безупречную службу» 3, 2, 1 степеней. Имеет ряд наград от республиканских и местных государственных органов, в том числе Благодарственное письмо Президента Республики Беларусь, высшую награду Следственного комитета Республики Беларусь – нагрудный знак «За заслуги», в 2007 году Брестским областным исполнительным комитетом удостоена почетного звания «Человек года». Проживает в городе Бресте.
Беспартийная. Замужем, воспитала троих детей, имеет пять внуков."
