name,lastName,firstName,middleName,sex,alreadyInParliament,birthDate,jobTitle,partyRaw,party,promotionType,homeAddressRaw,homeAddress,candidateDetailsUrl,electionDistrict,electionDistrictNumber,electionDistrictCapacity,electionDistrictCandidates,electionDistrictRegion
Лысенко Светлана Владимировна,Лысенко,Светлана,Владимировна,F,0,1996,учитель ГУО «Базовая школа деревни Яцковичи»,беспартийная,не состоит в партии,сбор подписей избирателей,г. Брест,г. Брест,/candidates/003-5.html,Брестский-Восточный избирательный округ,3,60524,7,Брестская область
Мельник Александр Николаевич,Мельник,Александр,Николаевич,M,0,1957,пенсионер Министерства обороны Республики Беларусь,член Белорусской партии левых «Справедливый мир»,член Белорусской партии левых «Справедливый мир»,политическая партия,г. Брест,г. Брест,/candidates/003-6.html,Брестский-Восточный избирательный округ,3,60524,7,Брестская область
Старик Елена Николаевна,Старик,Елена,Николаевна,F,0,1967,директор ГУО «Средняя школа № 10 г. Бреста»,член Республиканской партии труда и справедливости,член Республиканской партии труда и справедливости,политическая партия,г. Брест,г. Брест,/candidates/003-7.html,Брестский-Восточный избирательный округ,3,60524,7,Брестская область
Артемук Денис Анатольевич,Артемук,Денис,Анатольевич,M,0,1981,инженер-агрометеоролог отдела гидрологии и агрометеорологии филиала «Брестский областной центр по гидрометеорологии и мониторингу окружающей среды»,беспартийный,не состоит в партии,сбор подписей избирателей,"аг. Черни, Брестский район","аг. Черни, Брестский район",/candidates/004-1.html,Брестский-Пограничный избирательный округ,4,61252,5,Брестская область
Голенчук Владимир Алексеевич,Голенчук,Владимир,Алексеевич,M,0,1975,директор КПУП «Брестский мусороперерабатывающий завод»,беспартийный,не состоит в партии,трудовой коллектив,г. Брест,г. Брест,/candidates/004-2.html,Брестский-Пограничный избирательный округ,4,61252,5,Брестская область
Зайцев Евгений Станиславович,Зайцев,Евгений,Станиславович,M,0,1970,военный комиссар Брестской области,беспартийный,не состоит в партии,"сбор подписей избирателей, трудовой коллектив",г. Брест,г. Брест,/candidates/004-3.html,Брестский-Пограничный избирательный округ,4,61252,5,Брестская область
Макул Вадим Викторович,Макул,Вадим,Викторович,M,0,1984,"индивидуальный предприниматель, старший преподаватель учреждения образования «Брестский государственный технический университет», главный инженер ООО «Фарадей Групп»",член Либерально-демократической партии,член Либерально-демократической партии,политическая партия,г. Брест,г. Брест,/candidates/004-4.html,Брестский-Пограничный избирательный округ,4,61252,5,Брестская область
Масловский Игорь Владимирович,Масловский,Игорь,Владимирович,M,0,1970,директор частного образовательного социально-информационного учреждения «За свой город»,член Белорусской социал-демократической партии (Грамада),член Белорусской социал-демократической партии (Грамада),политическая партия,г. Брест,г. Брест,/candidates/004-5.html,Брестский-Пограничный избирательный округ,4,61252,5,Брестская область
Калач Виктория Васильевна,Калач,Виктория,Васильевна,F,0,1982,заместитель директора по финансовым вопросам ООО «Проморетейл»,беспартийная,не состоит в партии,сбор подписей избирателей,г. Барановичи,г. Барановичи,/candidates/005-1.html,Барановичский-Западный избирательный округ,5,66630,6,Брестская область
Первушин Андрей Анатольевич,Первушин,Андрей,Анатольевич,M,0,1988,индивидуальный предприниматель,член Либерально-демократической партии,член Либерально-демократической партии,политическая партия,г. Минск,г. Минск,/candidates/005-2.html,Барановичский-Западный избирательный округ,5,66630,6,Брестская область
Скороход Ирина Олеговна,Скороход,Ирина,Олеговна,F,0,1981,учитель английского языка ГУО «Гимназия № 2 г.Барановичи»,беспартийная,не состоит в партии,сбор подписей избирателей,г. Барановичи,г. Барановичи,/candidates/005-3.html,Барановичский-Западный избирательный округ,5,66630,6,Брестская область
Хлобукин Игорь Константинович,Хлобукин,Игорь,Константинович,M,0,1973,начальник Барановичского горрайотдела по чрезвычайным ситуациям,беспартийный,не состоит в партии,"сбор подписей избирателей, трудовой коллектив",г. Барановичи,г. Барановичи,/candidates/005-4.html,Барановичский-Западный избирательный округ,5,66630,6,Брестская область
Черноус Николай Дмитриевич,Черноус,Николай,Дмитриевич,M,0,1950,индивидуальный предприниматель,член Партии БНФ,член Партии БНФ,политическая партия,г. Барановичи,г. Барановичи,/candidates/005-5.html,Барановичский-Западный избирательный округ,5,66630,6,Брестская область
Шестак Владимир Николаевич,Шестак,Владимир,Николаевич,M,0,1961,временно не работает,член Белорусской партии левых «Справедливый мир»,член Белорусской партии левых «Справедливый мир»,политическая партия,г. Барановичи,г. Барановичи,/candidates/005-6.html,Барановичский-Западный избирательный округ,5,66630,6,Брестская область
Август Дмитрий Васильевич,Август,Дмитрий,Васильевич,M,0,1979,директор Частного унитарного предприятия по оказанию услуг «АНДАТРА»,беспартийный,не состоит в партии,сбор подписей избирателей,г. Барановичи,г. Барановичи,/candidates/006-1.html,Барановичский–Восточный избирательный округ,6,61229,6,Брестская область
Гузовский Чеслав Францевич,Гузовский,Чеслав,Францевич,M,0,1968,"слесарь контроль-измерительных приборов и автоматики службы главного энергетика ООО «Барановичский комбинат пищевых продуктов 	и концентратов»",член Белорусской партии левых «Справедливый мир»,член Белорусской партии левых «Справедливый мир»,политическая партия,г. Барановичи,г. Барановичи,/candidates/006-2.html,Барановичский–Восточный избирательный округ,6,61229,6,Брестская область
Конопляник Елена Сергеевна,Конопляник,Елена,Сергеевна,F,0,1993,специалист по документационному обеспечению отдела делопроизводства и архива ОДО «НП-Сервис»,член Либерально-демократической партии,член Либерально-демократической партии,политическая партия,"г. Солигорск, Минская область",г. Солигорск,/candidates/006-3.html,Барановичский–Восточный избирательный округ,6,61229,6,Брестская область
Малащенко Татьяна Сергеевна,Малащенко,Татьяна,Сергеевна,F,0,1968,временно неработающий,член Объединенной гражданской партии,член Объединенной гражданской партии,политическая партия,"д. Постаринье, Барановичский район","д. Постаринье, Барановичский район",/candidates/006-4.html,Барановичский–Восточный избирательный округ,6,61229,6,Брестская область
Попко Павел Иванович,Попко,Павел,Иванович,M,0,1983,проректор по воспитательной работе учреждения образования «Барановичский государственный университет»,беспартийный,не состоит в партии,"сбор подписей избирателей, трудовой коллектив",г. Барановичи,г. Барановичи,/candidates/006-5.html,Барановичский–Восточный избирательный округ,6,61229,6,Брестская область
Тарасова Юлия Николаевна,Тарасова,Юлия,Николаевна,F,0,1975,директор государственного учреждения образования «Средняя школа № 9 имени Героя Советского Союза Г.Н.Холостякова г. Барановичи»,беспартийная,не состоит в партии,трудовой коллектив,г. Барановичи,г. Барановичи,/candidates/006-6.html,Барановичский–Восточный избирательный округ,6,61229,6,Брестская область
Войтешик Сергей Константинович,Войтешик,Сергей,Константинович,M,0,1977,заместитель директора КУМПП ЖКХ «Ганцевичское РЖКХ»,беспартийный,не состоит в партии,трудовой коллектив,г. Ганцевичи,г. Ганцевичи,/candidates/007-1.html,Барановичский сельский избирательный округ,7,62574,3,Брестская область
Жолнерчик Людмила Николаевна,Жолнерчик,Людмила,Николаевна,F,0,1964,начальник отдела анализа практики и методического обеспечения предварительного расследования управления Следственного комитета Республики Беларусь по Брестской области,беспартийная,не состоит в партии,сбор подписей избирателей,г. Брест,г. Брест,/candidates/007-2.html,Барановичский сельский избирательный округ,7,62574,3,Брестская область
Лосик Федор Степанович,Лосик,Федор,Степанович,M,0,1952,пенсионер,член Либерально-демократической партии,член Либерально-демократической партии,политическая партия,г. Барановичи,г. Барановичи,/candidates/007-3.html,Барановичский сельский избирательный округ,7,62574,3,Брестская область
Понкратова Анна Ивановна,Понкратова,Анна,Ивановна,F,0,1991,первый секретарь Малоритской районной организации общественного объединения «Белорусский республиканский союз молодежи»,беспартийная,не состоит в партии,трудовой коллектив,"аг. Гвозница, Малоритский район","аг. Гвозница, Малоритский район",/candidates/008-1.html,Беловежский избирательный округ,8,61416,3,Брестская область
Петрусевич Фёдор Иванович,Петрусевич,Федор,Иванович,M,0,1954,пенсионер Министерства обороны Республики Беларусь,член Белорусской социал-демократической партии (Грамада),член Белорусской социал-демократической партии (Грамада),политическая партия,г. Брест,г. Брест,/candidates/008-2.html,Беловежский избирательный округ,8,61416,3,Брестская область
Стативко Жанна Владимировна,Стативко,Жанна,Владимировна,F,1,1968,депутат Палаты представителей Национального собрания Республики Беларусь,член Республиканской партии труда и справедливости,член Республиканской партии труда и справедливости,"сбор подписей избирателей, политическая партия",г. Минск,г. Минск,/candidates/008-3.html,Беловежский избирательный округ,8,61416,3,Брестская область
Зинченко Александр Николаевич,Зинченко,Александр,Николаевич,M,0,1947,пенсионер,член Коммунистической партии Беларуси,член Коммунистической партии Беларуси,политическая партия,г. Минск,г. Минск,/candidates/009-1.html,Пружанский избирательный округ,9,58695,6,Брестская область
Левошевич Вадим Александрович,Левошевич,Вадим,Александрович,M,0,1982,директор ООО «ЭсАйДжи-Металлоконструкция»,беспартийный,не состоит в партии,сбор подписей избирателей,г. Береза,г. Береза,/candidates/009-2.html,Пружанский избирательный округ,9,58695,6,Брестская область
Левчук Александр Георгиевич,Левчук,Александр,Георгиевич,M,0,1985,главный ветеринарный врач ОАО «Оранчицкая птицефабрика»,беспартийный,не состоит в партии,сбор подписей избирателей,"д. Быстрица, Кобринский район","д. Быстрица, Кобринский район",/candidates/009-3.html,Пружанский избирательный округ,9,58695,6,Брестская область
Майсеёнок Вадим Владимирович,Майсеёнок,Вадим,Владимирович,M,0,1986,ведущий инженер ООО «Фарадей Групп»,член Либерально-демократической партии,член Либерально-демократической партии,политическая партия,г. Брест,г. Брест,/candidates/009-4.html,Пружанский избирательный округ,9,58695,6,Брестская область
Новик Михаил Алексеевич,Новик,Михаил,Алексеевич,M,0,1956,"индивидуальный предприниматель, пенсионер",член Объединенной гражданской партии,член Объединенной гражданской партии,политическая партия,"д.Лососин, Пружанский район","д. Лососин, Пружанский район",/candidates/009-5.html,Пружанский избирательный округ,9,58695,6,Брестская область
Тарасевич Татьяна Михайловна,Тарасевич,Татьяна,Михайловна,F,0,1958,пенсионер,член Белорусской социал-демократической партии (Грамада),член Белорусской социал-демократической партии (Грамада),политическая партия,г. Береза,г. Береза,/candidates/009-7.html,Пружанский избирательный округ,9,58695,6,Брестская область
Бартош Светлана Владимировна,Бартош,Светлана,Владимировна,F,0,1969,председатель Дрогичинского районного Совета депутатов,член Республиканской партии труда и справедливости,член Республиканской партии труда и справедливости,"сбор подписей избирателей, политическая партия",г. Дрогичин,г. Дрогичин,/candidates/010-1.html,Днепро-Бугский избирательный округ,10,59156,2,Брестская область
Ковалюк Виктор Степанович,Ковалюк,Виктор,Степанович,M,0,1964,педагог дополнительного образования ГУО «Средняя школа №10 г. Бреста»,член Белорусской социал-демократической партии (Грамада),член Белорусской социал-демократической партии (Грамада),политическая партия,г. Брест,г. Брест,/candidates/010-3.html,Днепро-Бугский избирательный округ,10,59156,2,Брестская область
Голуб Наталья Григорьевна,Голуб,Наталья,Григорьевна,F,0,1987,первый секретарь Березовской районной организации Общественного объединения «Белорусский республиканский союз молодежи»,член Коммунистической партии Беларуси,член Коммунистической партии Беларуси,сбор подписей избирателей,"д. Голицы, Березовский район","д. Голицы, Березовский район",/candidates/011-1.html,Ивацевичский избирательный округ,11,60019,3,Брестская область
Горбач Раиса Ивановна,Горбач,Раиса,Ивановна,F,0,1961,директор государственного учреждения культуры «Ивацевичский историко-краеведческий музей»,член Республиканской партии труда и справедливости,член Республиканской партии труда и справедливости,политическая партия,г. Ивацевичи,г. Ивацевичи,/candidates/011-2.html,Ивацевичский избирательный округ,11,60019,3,Брестская область
Лазаренков Валентин Дмитриевич,Лазаренков,Валентин,Дмитриевич,M,0,1954,пенсионер,член Белорусской социал-демократической партии (Грамада),член Белорусской социал-демократической партии (Грамада),политическая партия,г. Брест,г. Брест,/candidates/011-3.html,Ивацевичский избирательный округ,11,60019,3,Брестская область
Галанина Наталья Борисовна,Галанина,Наталья,Борисовна,F,0,1980,заместитель директора ООО «ДЕ-ПА»,член Белорусской социал-демократической партии (Грамада),член Белорусской социал-демократической партии (Грамада),политическая партия,г. Брест,г. Брест,/candidates/012-1.html,Кобринский избирательный округ,12,62397,4,Брестская область
Демидович Василий Николаевич,Демидович,Василий,Николаевич,M,1,1961,депутат Палаты представителей Национального собрания Республики Беларусь,беспартийный,не состоит в партии,"сбор подписей избирателей, трудовой коллектив",г. Минск,г. Минск,/candidates/012-2.html,Кобринский избирательный округ,12,62397,4,Брестская область
Курашик Андрей Викторович,Курашик,Андрей,Викторович,M,0,1997,студент учреждения образования «Белорусский государственный аграрный технический университет»,член Белорусской патриотической партии,член Белорусской патриотической партии,политическая партия,г. Кобрин,г. Кобрин,/candidates/012-4.html,Кобринский избирательный округ,12,62397,4,Брестская область
Юрьева Светлана Леонидовна,Юрьева,Светлана,Леонидовна,F,0,1974,директор государственного социально-педагогического учреждения образования «Кобринская детская деревня»,член Республиканской партии труда и справедливости,член Республиканской партии труда и справедливости,политическая партия,г. Кобрин,г. Кобрин,/candidates/012-5.html,Кобринский избирательный округ,12,62397,4,Брестская область
Дубоносов Леонид Витальевич,Дубоносов,Леонид,Витальевич,M,0,1971,слесарь фирмы «Табор Дембица» (Республика Польша),член Белорусской социал-демократической партии (Грамада),член Белорусской социал-демократической партии (Грамада),политическая партия,"г. Микашевичи, Лунинецкий район","г. Микашевичи, Лунинецкий район",/candidates/013-1.html,Лунинецкий избирательный округ,13,57232,4,Брестская область
Ильючик Иван Константинович,Ильючик,Иван,Константинович,M,0,1980,мастер строительно-монтажных работ филиала № 2 ООО «Пассат»,член Белорусской патриотической партии,член Белорусской патриотической партии,политическая партия,"аг. Богдановка, Лунинецкий район","аг. Богдановка, Лунинецкий район",/candidates/013-3.html,Лунинецкий избирательный округ,13,57232,4,Брестская область
Насеня Анатолий Васильевич,Насеня,Анатолий,Васильевич,M,0,1979,главный экономист ОАО «Спецжелезобетон»,беспартийный,не состоит в партии,"сбор подписей избирателей, трудовой коллектив",г. Лунинец,г. Лунинец,/candidates/013-4.html,Лунинецкий избирательный округ,13,57232,4,Брестская область
Шкут Александр Петрович,Шкут,Александр,Петрович,M,0,1993,консультант по инвестиционным вопросам 1-ой категории СООО «Инвестиционная компания «Капитал Таймс»,член Либерально-демократической партии,член Либерально-демократической партии,политическая партия,г. Минск,г. Минск,/candidates/013-5.html,Лунинецкий избирательный округ,13,57232,4,Брестская область
Бернгардт Ирина Ивановна,Бернгардт,Ирина,Ивановна,F,0,1968,главный инженер проектов КУП «Пинская проектно-конструкторская мастерская «МАРС»,беспартийная,не состоит в партии,сбор подписей избирателей,г. Пинск,г. Пинск,/candidates/014-1.html,Пинский городской избирательный округ,14,61415,4,Брестская область
Кудренок Дмитрий Александрович,Кудренок,Дмитрий,Александрович,M,0,1973,"оператор экструзионной линии ООО «Климовский трубный завод», Российская Федерация",член Белорусской партия левых «Справедливый мир»,член Белорусской партии левых «Справедливый мир»,политическая партия,г. Пинск,г. Пинск,/candidates/014-2.html,Пинский городской избирательный округ,14,61415,4,Брестская область
Омельянюк Александр Павлович,Омельянюк,Александр,Павлович,M,0,1964,председатель суда Пинского района и г. Пинска,беспартийный,не состоит в партии,"сбор подписей избирателей, трудовой коллектив","д. Заполье, Пинский район","д. Заполье, Пинский район",/candidates/014-3.html,Пинский городской избирательный округ,14,61415,4,Брестская область
Ососков Александр Игоревич,Ососков,Александр,Игоревич,M,0,1991,"юрисконсульт ЧУПТП «Ососков и Ко», индивидуальный предприниматель",член Либерально-демократической партии,член Либерально-демократической партии,политическая партия,г. Пинск,г. Пинск,/candidates/014-4.html,Пинский городской избирательный округ,14,61415,4,Брестская область
Бегеба Валентина Константиновна,Бегеба,Валентина,Константиновна,F,0,1968,директор КУП «Детский реабилитационно - оздоровительный центр «Свитанак»,беспартийная,не состоит в партии,"сбор подписей избирателей, трудовой коллектив",г. Пинск,г. Пинск,/candidates/015-1.html,Пинский сельский избирательный округ,15,65912,3,Брестская область
Ковалец Анатолий Владимирович,Ковалец,Анатолий,Владимирович,M,0,1959,инженер ОДО «КМСТРОЙ»,беспартийный,не состоит в партии,сбор подписей избирателей,г. Пинск,г. Пинск,/candidates/015-2.html,Пинский сельский избирательный округ,15,65912,3,Брестская область
Мороз Дмитрий Владимирович,Мороз,Дмитрий,Владимирович,M,0,1991,индивидуальный предприниматель,член Либерально-демократической партии,член Либерально-демократической партии,политическая партия,г. Пинск,г. Пинск,/candidates/015-3.html,Пинский сельский избирательный округ,15,65912,3,Брестская область
Боболович Александр Сергеевич,Боболович,Александр,Сергеевич,M,1,1964,депутат Палаты представителей Национального собрания Республики Беларусь,беспартийный,не состоит в партии,"сбор подписей избирателей, трудовой коллектив",г. Минск,г. Минск,/candidates/016-1.html,Столинский избирательный округ,16,54104,3,Брестская область
Мазан Сергей Анатольевич,Мазан,Сергей,Анатольевич,M,0,1989,шеф-повар общества с ограниченной ответственностью «РестфудГрупп»,член Белорусской социал-демократической партии (Грамада),член Белорусской социал-демократической партии (Грамада),политическая партия,"д. Хорск, Столинский район","д. Хорск, Столинский район",/candidates/016-2.html,Столинский избирательный округ,16,54104,3,Брестская область
Михальчук Виктор Викторович,Михальчук,Виктор,Викторович,M,0,1991,коммерческий директор ООО «Беллесинтертранс»,член Либерально-демократической партии,член Либерально-демократической партии,политическая партия,г. Пинск,г. Пинск,/candidates/016-3.html,Столинский избирательный округ,16,54104,3,Брестская область
Геруцкий Константин Викторович,Геруцкий,Константин,Викторович,M,0,1970,заместитель директора по коммерческим вопросам УП «Фабрика «Спектр упаковки»,член Коммунистической партии Беларуси,член Коммунистической партии Беларуси,политическая партия,г. Витебск,г. Витебск,/candidates/017-1.html,Витебский-Горьковский избирательный округ,17,64419,5,Витебская область
Егоров Дмитрий Александрович,Егоров,Дмитрий,Александрович,M,0,1978,директор ДКУП «Туристско-гостиничный комплекс «Лучеса»,беспартийный,не состоит в партии,трудовой коллектив,г. Витебск,г. Витебск,/candidates/017-2.html,Витебский-Горьковский избирательный округ,17,64419,5,Витебская область
Ильинец Александр Игоревич,Ильинец,Александр,Игоревич,M,0,1976,временно не работает,член партии БНФ,член партии БНФ,политическая партия,г. Витебск,г. Витебск,/candidates/017-3.html,Витебский-Горьковский избирательный округ,17,64419,5,Витебская область
Николайкин Виктор Павлович,Николайкин,Виктор,Павлович,M,0,1961,председатель Витебского городского исполнительного комитета,беспартийный,не состоит в партии,"сбор подписей избирателей, трудовой коллектив",г. Витебск,г. Витебск,/candidates/017-4.html,Витебский-Горьковский избирательный округ,17,64419,5,Витебская область
Рысев Сергей Михайлович,Рысев,Сергей,Михайлович,M,0,1970,директор ООО «ЮСТИНОР»,член Либерально-демократической партии,член Либерально-демократической партии,политическая партия,г. Витебск,г. Витебск,/candidates/017-5.html,Витебский-Горьковский избирательный округ,17,64419,5,Витебская область
Автухова Татьяна Анатольевна,Автухова,Татьяна,Анатольевна,F,0,1965,директор средней школы № 45 г. Витебска,беспартийная,не состоит в партии,"сбор подписей избирателей, трудовой коллектив",г. Витебск,г. Витебск,/candidates/018-1.html,Витебский-Чкаловский избирательный округ,18,67467,6,Витебская область
Гаврутиков Алексей Александрович,Гаврутиков,Алексей,Александрович,M,0,1957,ведущий юрисконсульт ЧТУП «ВитоптЭлектро»,член Партии БНФ,член Партии БНФ,политическая партия,г. Витебск,г. Витебск,/candidates/018-2.html,Витебский-Чкаловский избирательный округ,18,67467,6,Витебская область
Егоренков Юрий Геннадьевич,Егоренков,Юрий,Геннадьевич,M,0,1979,директор ООО «Таганское»,член Либерально-демократической партии,член Либерально-демократической партии,политическая партия,г. Витебск,г. Витебск,/candidates/018-3.html,Витебский-Чкаловский избирательный округ,18,67467,6,Витебская область
Каплевский Александр Яковлевич,Каплевский,Александр,Яковлевич,M,0,1967,заместитель директора по общим вопросам филиала «Витебская ТЭЦ» РУП «Витебскэнерго»,беспартийный,не состоит в партии,трудовой коллектив,г. Витебск,г. Витебск,/candidates/018-4.html,Витебский-Чкаловский избирательный округ,18,67467,6,Витебская область
Мельников Юрий Михайлович,Мельников,Юрий,Михайлович,M,0,1982,начальник сектора кадровой и правовой работы филиала «Военсервис» РУП «Торгово-производственное управление при Министерстве обороны»,беспартийный,не состоит в партии,сбор подписей избирателей,г. Витебск,г. Витебск,/candidates/018-5.html,Витебский-Чкаловский избирательный округ,18,67467,6,Витебская область
